491 05h03'58'' PERRIER NICOLAS V1M    Trail Hivernal Oxsitis Sancy Mont-Dore - 32.6 km 12/1/2020
2125 46'11'' PERRIER NICOLAS V1M    Prom'Classic 5/1/2020
174 02h29'22'' PERRIER NICOLAS V1M ASSOCIATION NEUVILLE ATHLETISME  Trail du Sancy - Chemin des crêtes - 19.6 km 22/9/2019
125 07h17'22'' PERRIER NICOLAS SEM SC-REPPAZ  Orsières - Champex - Chamonix 29/8/2019
58 04h12'13'' PERRIER NICOLAS V2M ASPH TRIATHLON  Triathlon des Gorges de l'Ardèche - L 6/7/2019
58 04h12'13'' PERRIER NICOLAS V2M ASPH TRIATHLON  Triathlon des Gorges de l'Ardèche - L 6/7/2019
38 02h47'56'' PERRIER NICOLAS SEM Uriage Runing Team As Sports  Trail de Faverges-Seythenex - Trail des Sources du Lac 22/6/2019
2 03h19'34'' PERRIER NICOLAS SEM    Chartreuse Trail Festival - Sky Trail 31/5/2019
3 41'25'' PERRIER NICOLAS SEM    Chartreuse Trail Festival - KV 30/5/2019
5 01h21'21'' PERRIER NICOLAS SEM RUNNING PLANET GENÈVE  L'Allingeoise - 19 km 19/5/2019
289 01h31'34'' PERRIER NICOLAS ESM 100 ANS ECPM  Les Courses de Strasbourg-Europe - 21.1 km 12/5/2019
51 02h13'02'' PERRIER NICOLAS SEM Uriage Running  Trail des 3 Pucelles - 23 km 28/4/2019
149 01h42'58'' PERRIER NICOLAS V1M ASSOCIATION NEUVILLE ATHLETISM  Trail Cloysien des 3 Rivières - 18 km 9/3/2019
802 01h49'38'' PERRIER NICOLAS V1M    Semi-Marathon de Cannes 3/3/2019
14 01h46'27'' PERRIER NICOLAS V1M ASPH MONTPELLIER TRIATHLON  Trail de Pignan - 20 km 3/2/2019
38 01h34'39'' PERRIER NICOLAS SEM Traileurs-des-monts-d'or-/-run  Trail givré de Montanay - 23 km 3/2/2019
36 36'36'' PERRIER NICOLAS V1M Association Neuville Athletism  La Montagneuse - 8 km 20/1/2019
2265 47'16'' PERRIER NICOLAS V1M    Prom'Classic 4/1/2019
5 39'30'' PERRIER NICOLAS SEM    La Corrida de Sassenage - 11 km 11/11/2018
1 47'37'' PERRIER NICOLAS SEM Uriage RUNNING  10 km de La Bastille 27/10/2018
812 20h55'14'' PERRIER NICOLAS V1M Point Trop N'en Faut  Endurance Trail des Templiers 19/10/2018
146 37h44'47'' PERRIER NICOLAS SEM    Le Grand Raid de la Réunion : La Diagonale des Fous 19/10/2018
1 07h11'21'' PERRIER NICOLAS SEM Uriage Running Endurance Shop  Trail du Petit Saint-Bernard - 60 km 7/10/2018
5219 56'08'' PERRIER NICOLAS V1M    Run in Lyon - 10 km de Lyon 7/10/2018
901 01h54'27'' PERRIER NICOLAS V1M CATENAY  Seine Marathon 76 - 21.1 km 16/9/2018
71 06h50'10'' PERRIER NICOLAS SEM Team Ecureuil  Orsières - Champex - Chamonix 30/8/2018
8 29h58'13'' PERRIER NICOLAS SEM Endurance Shop Echirolles Uriage  Ultra Tour des 4 Massifs - XTrem 160 km 24/8/2018
200 03h33'12'' PERRIER NICOLAS SEM    Sierre - Zinal 12/8/2018
11 04h16'10'' PERRIER NICOLAS SEM    Trail Ubaye Salomon - 42 km 5/8/2018
1 05h50'05'' PERRIER NICOLAS SEM SNBC  Trail et Rando des Lacs de Chamrousse - 46 km 7/7/2018
134 05h46'14'' PERRIER NICOLAS SEM Ultime Sport - Running Planet GenÄve - Traileurs des Monts  42 km du Mont-Blanc 1/7/2018
2 04h51'56'' PERRIER NICOLAS SEM    Le 3600 Summit Trail 24/6/2018
2 01h31'47'' PERRIER NICOLAS SEM    La Double Verticale du Diable 23/6/2018
5 01h08'33'' PERRIER NICOLAS SEM Uriage Running  Cross du Pain - 15 km 17/6/2018
2 01h33'57'' PERRIER NICOLAS SEM Running Planet Genève  Urbantrail des Singes - 20 km 27/5/2018
28 04h45'54'' PERRIER NICOLAS V2M ASPH TRIATHLON MON  Island Man - Triathlon L 20/5/2018
75 09h41'48'' PERRIER NICOLAS SEM    Trail de Minuit 19/5/2018
3 04h44'58'' PERRIER NICOLAS SEM Team écureuil  Trail de Haute Provence - Marathon - 44 km 12/5/2018
17 02h35'25'' PERRIER NICOLAS SEM TRAILEURS DES MONTS D OR  Trail Le Malpassant - 27 km 6/5/2018
3 02h07'21'' PERRIER NICOLAS SEM Annemasse  Trail du Lac de Paladru - 29 km 22/4/2018
5 01h40'00'' PERRIER NICOLAS SEM    Lyon Urban Trail - 23 km 1/4/2018
1374 04h45'36'' PERRIER NICOLAS V1M    Marathon du Golfe de Saint-Tropez 25/3/2018
4689 01h37'49'' PERRIER NICOLAS SEM    Semi-Marathon de Paris 4/3/2018
1034 01h53'52'' PERRIER NICOLAS V1M    Semi-Marathon de Cannes 25/2/2018
27 01h28'03'' PERRIER NICOLAS SEM TRAILEURS DES MONTS D'OR / RUNNING PL  Trail givré de Montanay - 23 km 4/2/2018
788 03h10'23'' PERRIER NICOLAS SEM    Trail du Château de Pierrefonds - 24 km 21/1/2018
134 01h21'51'' PERRIER NICOLAS SEM    Trail Nocturne de Bouc Bel Air - 15 km 25/11/2017
3666 01h47'51'' PERRIER NICOLAS SEM    Semi-Marathon de Boulogne-Billancourt 19/11/2017
37 04h25'43'' PERRIER NICOLAS V1M POINT TROP N'EN FAUT  Trail du Pastel - 44 km 10/11/2017
247 39h08'12'' PERRIER NICOLAS SEM    Le Grand Raid de la Réunion : La Diagonale des Fous 19/10/2017
3 06h41'05'' PERRIER NICOLAS SEM LES TZEUBLETS  Les Défis du Jubilé de St-Maurice 14/10/2017
11463 01h49'16'' PERRIER NICOLAS SEM    20 km de Paris 8/10/2017
5924 57'19'' PERRIER NICOLAS SEM    Run in Lyon - 10 km de Lyon 1/10/2017
1793 01h38'56'' PERRIER NICOLAS V1M    Run in Lyon - Semi-Marathon de Lyon 1/10/2017
1769 04h22'54'' PERRIER NICOLAS SEM    Run in Lyon - Marathon de Lyon 1/10/2017
5 39'30'' PERRIER NICOLAS SEM Uriage running // Team hoka elite  La Wider Classic 24/9/2017
81 01h51'31'' PERRIER NICOLAS SEM    L'Orrygeoise - 20 km 17/9/2017
8 33'31'' PERRIER NICOLAS SEM Uriage Running Athletisme  Courir à Grenoble - 10 km 10/9/2017
1 02h23'45'' PERRIER NICOLAS SEM RUNNING PLANET GENEVE / TRAILEURS DES MONTS D'OR  Trail du Ramequin 3/9/2017
20 05h50'20'' PERRIER NICOLAS SEM    Orsières - Champex - Chamonix 31/8/2017
260 34h47'24'' PERRIER NICOLAS V1M Point Trop N39en Faut Balma (  Le Grand Raid des Pyrénées - Le Tour des Cirques 25/8/2017
37 04h41'29'' PERRIER NICOLAS SEM Team Hoka Elite  Trail Ubaye Salomon - 42 km 6/8/2017
4 07h56'50'' PERRIER NICOLAS SEM    Trail Verbier St-Bernard - Traversée 61 km 9/7/2017
12 02h17'44'' PERRIER NICOLAS V2M ASPH TRIATHLON"  Triathlon du Lac du Salagou M 10/6/2017
4 03h39'43'' PERRIER NICOLAS SEM MONTHEY  Trail de la Pierre A Voir 10/6/2017
482 03h24'23'' PERRIER NICOLAS SEM ASSOCIATION NEUVILLE ATHLETISM  Les Voleurs de Temps - 32 km 4/6/2017
38 01h15'56'' PERRIER NICOLAS SEM Uriage Running  Championnats de France de Course en Montagne Masculins (Culoz) 4/6/2017
38 01h15'56'' PERRIER NICOLAS SEM URIAGE RUNNING  La Montée du Grand Colombier 4/6/2017
835 03h07'25'' PERRIER NICOLAS SEM    FestaTrail - Tour du Pic St Loup 21/5/2017
534 01h24'36'' PERRIER NICOLAS ESM BAYONVILLERS  La Transbaie 14/5/2017
1 50'51'' PERRIER NICOLAS SEM Uriage Running / Team Hoka  Uriage Trail Running - 11 km 14/5/2017
534 01h24'36'' PERRIER NICOLAS ESM BAYONVILLERS  La Transbaie 14/5/2017
112 01h57'27'' PERRIER NICOLAS SEM    The Trail Sens - 18 km 13/5/2017
3 02h59'21'' PERRIER NICOLAS SEM Traileurs des Monts d'Or  Be Run - Marathon Solo 13/5/2017
10 03h10'38'' PERRIER NICOLAS SEM Team Hoka  Skyrace des Matheysins 8/5/2017
5 02h36'34'' PERRIER NICOLAS SEM RUNNING PLANET GENèVE / TRAILEURS  Trail du Laudon - 28 km 23/4/2017
192 11h13'23'' PERRIER NICOLAS V1M Point Trop N En Faut Balma (31  Trail des Citadelles - 70 km 16/4/2017
963 01h36'59'' PERRIER NICOLAS SEM Association Neuville Athlétisme  Semi-Marathon de Bordeaux Métropole 15/4/2017
218 05h56'01'' PERRIER NICOLAS V1M    Brive Tulle Nature - 44 km - Trail 9/4/2017
6 01h48'52'' PERRIER NICOLAS SEM Traileurs des Monts d'Or / Running Planet Geneve  Lyon Urban Trail - 23 km 2/4/2017
2 01h13'58'' PERRIER NICOLAS SEM    WITT - Trail Blanc du Sappey - 16 km 18/2/2017
20 01h56'38'' PERRIER NICOLAS V1M    La Transjurassienne 76 12/2/2017
37 04h48'39'' PERRIER NICOLAS V1M Point Trop N  Forest Trail 31 - 42 km 4/2/2017
372 05h25'06'' PERRIER NICOLAS SEM Association Neuville Athletism  Trail Hivernal du Sancy - 30 km 15/1/2017
1 58'31'' PERRIER NICOLAS SEM    Trail nocturne des Rois 14/1/2017
1 01h11'31'' PERRIER NICOLAS SEM    Trail blanc des 7 Laux - 16 km 17/12/2016
1 01h11'31'' PERRIER NICOLAS SEM    Trail blanc des 7 Laux - 8 km 17/12/2016
273 44'53'' PERRIER NICOLAS SEM Association Neuville Athletism  La Course des Trois Ponts 10/12/2016
21 04h29'34'' PERRIER NICOLAS V1M POINT TROP N'EN FAUT  Trail du Pastel - 42 km 11/11/2016
231 02h08'27'' PERRIER NICOLAS SEM Association Neuville Ath  Les Carrières by Night 5/11/2016
1154 01h23'56'' PERRIER NICOLAS SEM    Lyon Urban Trail LUT by Night - 12 km 5/11/2016
